NAME,YEAR,MONTH,AVRG ELEVATION,MIN ELEVATION,MAX ELEVATION,PRECIPITATION RATE,SOIL MOISTURE,WIND SPEED,SURFACE TEMPERATURE,DEEP SOIL TEMPERATURE,Flood Risk,Landslide Risk,Storm Risk,Disaster Susceptibility Index
0.875,2033,9,0.048411498,0.041860465,0.285968028,0.3666901600399999,0.6925318783699999,0.4960050477499997,0.2509875370599999,0.25547554276,0.2993969703149999,0.3785440196749999,0.2533704098999998,0.595925117968058
0.875,2033,10,0.048411498,0.041860465,0.285968028,0.3684474412599999,0.6847401404999998,0.23363949219,0.2606723924399998,0.2601903272799999,0.295825390366,0.3776766395839999,0.147014400966,0.5481149737829794
0.875,2033,11,0.048411498,0.041860465,0.285968028,0.3687259432699998,0.6738906079499994,0.14124111548,0.2207471867899999,0.2383354077400001,0.3006669725349998,0.3701343465139998,0.1181236420149999,0.5345336725216375
0.875,2033,12,0.048411498,0.041860465,0.285968028,0.0985281789599999,0.6107830081599992,0.1952660954999999,0.18289991851,0.2177644259500001,0.1812250405299997,0.2660285409259997,0.0662437583859999,0.372450753745449
0.875,2034,1,0.048411498,0.041860465,0.285968028,0.0471466513466666,0.3796878074600002,0.15979355143,0.1666227424999999,0.1922689474099999,0.0945993044766667,0.176186426724,0.039895717676,0.251075713503752
0.875,2034,2,0.048411498,0.041860465,0.285968028,0.04142188155,0.2052691214100001,0.13400076397,0.28105577642,0.20819772882,0.017097183959,0.125329146252,0.0049745649689999,0.1553761947388791
0.875,2034,3,0.048411498,0.041860465,0.285968028,0.07046393833,0.12351312444,0.0826418897,0.42102711923,0.3592188652799998,-0.023807060982,0.1397191914869999,-0.034850636267,0.1205284625862547
0.875,2034,4,0.048411498,0.041860465,0.285968028,0.0672237709199999,0.3743523239800001,0.0530912791,0.5534777675099997,0.4261328766200002,0.02365850226,0.227381703394,-0.0741330603859999,0.1873529753688056
0.875,2034,5,0.048411498,0.041860465,0.285968028,0.3788034746599997,0.4485053701799998,0.3233043015500001,0.4322160967100001,0.4374211100100001,0.1947886317759997,0.3453591750539999,0.1516783938759999,0.4649366240124534
0.875,2034,6,0.048411498,0.041860465,0.285968028,0.4231173692,0.6195941979799996,0.60336175579,0.2895888833599996,0.3531799407799998,0.2923662806019999,0.3931317579099998,0.305520986604,0.6221364174559947
0.875,2034,7,0.048411498,0.041860465,0.285968028,0.5191903787499998,0.64012486568,0.7201515778700002,0.2197857017199999,0.26249474049,0.3509153210599999,0.409975821027,0.395019454629,0.7081889137666412
0.875,2034,8,0.048411498,0.041860465,0.285968028,0.4321440869699998,0.6431639209400001,0.70455282512,0.2271007537999999,0.26155632167,0.3155455105099999,0.3845859663069999,0.3612030555789999,0.6556490719055839
0.875,2034,9,0.048411498,0.041860465,0.285968028,0.3991073823900001,0.6941543100499997,0.6430725142599999,0.2468255275299999,0.2588247734,0.313682990665,0.3894257620119999,0.322754965115,0.6410813751245156
0.875,2034,10,0.048411498,0.041860465,0.285968028,0.3401898960599999,0.6739220906800001,0.3722323668700003,0.2635234845499998,0.2642532850499999,0.280706738918,0.3667665526319999,0.1934040688560001,0.5513463461667567
0.875,2034,11,0.048411498,0.041860465,0.285968028,0.3934507574099998,0.6620177736299995,0.12038151965,0.2235055002999999,0.2450228547500001,0.3064433851929997,0.3753274298619997,0.1166455852229999,0.5407815212763732
0.875,2034,12,0.048411498,0.041860465,0.285968028,0.10808418391,0.6344739989199994,0.1912769722399999,0.18209466104,0.2228410304900001,0.1923157912319998,0.2770179605469999,0.0676759620609999,0.3868623411611923
0.9375,2025,1,0.298033283,0.106976744,0.737122558,0.5980232109200001,0.7202413249700004,0.6578295799299997,0.4168112410000001,0.4929550285299999,0.3421161053590001,0.5536770230730002,0.3293732187479999,0.7608112775166171
0.9375,2025,2,0.298033283,0.106976744,0.737122558,0.37156000046,0.6745555605499995,0.6925260265899997,0.5465770255599997,0.4855756627600003,0.2118719349369999,0.4705564574549998,0.249359677362,0.5923749707212786
0.9375,2025,3,0.298033283,0.106976744,0.737122558,0.3226086323,0.7301616742199997,0.6606241765600004,0.6033608698900003,0.65059642474,0.1976164529079998,0.5055570335039999,0.2105567580360001,0.5876603788922932
0.9375,2025,4,0.298033283,0.106976744,0.737122558,0.3273466604199997,0.7475019904399994,0.3873926414099999,0.5948087702600001,0.7193308807800001,0.2064241789479997,0.5259274280139997,0.1043959723379998,0.560718625294577
0.9375,2025,5,0.298033283,0.106976744,0.737122558,0.3020395651500001,0.8274007997300002,0.15376074956,0.4891400334300004,0.5999865625900003,0.2414047309929999,0.5184360785820001,0.0244848343829999,0.5452212447656923
0.9375,2025,6,0.298033283,0.106976744,0.737122558,0.11398119455,0.8223802644900003,0.15384503864,0.4457934499500002,0.5216477404500001,0.173344538877,0.444844642402,-0.023229644469,0.4366384518193918
0.9375,2025,7,0.298033283,0.106976744,0.737122558,0.3022142127000001,0.63325116002,0.16795192717,0.4485893287400001,0.5076867751199999,0.191339839038,0.44178362344,0.0383238406299999,0.4725445808368363
0.9375,2025,8,0.298033283,0.106976744,0.737122558,0.2447566289500001,0.6122339125099999,0.12403136384,0.44962670064,0.5095627319699999,0.1618441569049999,0.418616365432,0.003310865793,0.424655307947909
0.9375,2025,9,0.298033283,0.106976744,0.737122558,0.2465897874500001,0.6125716451000001,0.0928094762899999,0.4438756060300001,0.5093509268399999,0.163828959004,0.419225271733,-0.007477722755,0.4217513063484968
0.9375,2025,10,0.298033283,0.106976744,0.737122558,0.27649295442,0.6540312065299999,0.1478427166,0.42008260987,0.4943063739400001,0.1929866934529999,0.4376251796729999,0.0282651226919999,0.4668725300445915
0.9375,2025,11,0.298033283,0.106976744,0.737122558,0.5100629820799999,0.8390865568900001,0.3869710127399999,0.39844831204,0.4584240727999998,0.3462581691909999,0.556036332851,0.1983143090119999,0.7095131247175896
0.9375,2025,12,0.298033283,0.106976744,0.737122558,0.4344669345399999,0.8007124737200004,0.4897482946999998,0.3684202431999999,0.4311889945200002,0.310513138992,0.5163982779820001,0.2227520213019999,0.6728200265526967
0.9375,2026,1,0.298033283,0.106976744,0.737122558,0.4377693307199998,0.7983350169400001,0.1864301663999999,0.3665168539800001,0.41062957786,0.3115015382739999,0.5125638764699999,0.1027961666799999,0.6204513723547092
0.9375,2026,2,0.298033283,0.106976744,0.737122558,0.27579557606,0.7741871573500001,0.20538386526,0.5216675770700002,0.4284065601999998,0.2084375339149999,0.460282788663,0.0307553752079999,0.491561863027869
0.9375,2026,3,0.298033283,0.106976744,0.737122558,0.20381195627,0.7562125567300003,0.1609982356999999,0.6091343187300001,0.6143932768899999,0.156758357481,0.4704926658780001,-0.026087310885,0.4399991517486927
0.9375,2026,4,0.298033283,0.106976744,0.737122558,0.2823881571299998,0.7405825197100002,0.1558085929799999,0.5870983166700001,0.69117820048,0.1879070271309999,0.504733499748,-0.0001831073030001,0.4917489652205642
0.9375,2026,5,0.298033283,0.106976744,0.737122558,0.13687609394,0.7748459201799994,0.1515238377799999,0.4927741126800004,0.6034856979500003,0.1588460627939997,0.4538204004259999,-0.0266857875420001,0.4311154738802322
0.9375,2026,6,0.298033283,0.106976744,0.737122558,0.0966834413699999,0.66288799037,0.16989655291,0.44455766309,0.5208478814300002,0.1188249127409999,0.391647662408,-0.021751207343,0.3698899644723646
0.9375,2026,7,0.298033283,0.106976744,0.737122558,0.4673272643800002,0.6222744643000001,0.14781181965,0.4464852554300001,0.50094414644,0.254512865656,0.4866760044920001,0.080222527788,0.5582901337194662
0.9375,2026,8,0.298033283,0.106976744,0.737122558,0.44403944652,0.6921124217200003,0.07786977634,0.4472523593400001,0.50668634552,0.2659957049560001,0.501789486176,0.0451059443239999,0.559976131003832
0.9375,2026,9,0.298033283,0.106976744,0.737122558,0.4583246578199998,0.7134902419699998,0.0882116171599999,0.4546003546000001,0.4974404951800001,0.2766535364989998,0.5106392255729999,0.0520586449899998,0.5751576942400318
0.9375,2026,10,0.298033283,0.106976744,0.737122558,0.53172324046,0.6749164447900001,0.3724213806499999,0.4550145806200001,0.4910898656400001,0.294357985197,0.5198165353030001,0.1876792799739999,0.6495215487679709
0.9375,2026,11,0.298033283,0.106976744,0.737122558,0.4884330354099997,0.7310426567699999,0.49237681832,0.4185094080200002,0.4757781056699998,0.3011808012909998,0.5206049853879998,0.2299754280469998,0.672318225703314
0.9375,2026,12,0.298033283,0.106976744,0.737122558,0.37156653049,0.6948099004599999,0.4946316454599999,0.3877841553500001,0.4445942879899999,0.249709422964,0.468438443483,0.2019624579609999,0.5957036011436185
0.9375,2027,1,0.298033283,0.106976744,0.737122558,0.39161596912,0.7198932289400001,0.1985081270199999,0.3779567706400001,0.42378572768,0.2672196739020001,0.477816561554,0.0914933591159999,0.566020116364156
